AffymetrixID,AGI,L1P(-)normalized,L1P(-)rawvalue,L1P(-)flags,L2P(+)normalized,L2P(+)rawvalue,L2P(+)flags,L3P(-)normalized,L3P(-)rawvalue,L3P(-)flags,L4P(+)normalized,L4P(+)rawvalue,L4P(+)flagsvalue,L5P(-)normalized,L5P(-)rawvalue,L5P(-)flags,L6P(+)normalized,L6P(+)rawvalue,L6P(+)flags,meanRatioP(-)/P(+)
259221_s_at,At3g03540,3.773,1250.400,P,0.01,2.1,A,1.969,348.4,P,0.01,1.9,A,4.667,2346.3,P,0.031,17.6,A,241.582795698925
245627_at,At1g56600,3.27,381.3,P,0.023,2.1,A,1.973,122.8,P,0.027,2.1,A,5.195,918.9,P,0.012,2.5,A,216.05488459474
260097_at,At1g73220,3.134,546.6,P,0.045,6,A,1.955,182.1,P,0.017,1.9,A,4.389,1161.400,P,0.01,1.9,A,207.848148148148
266132_at,At2g45130,2.241,1370.6,P,0.01,2.5,A,1.984,647.7,P,0.016,6.6,A,2.64,2449.300,P,0.016,16.9,A,171.033333333333
250561_at,At5g08030,2.194,467.5,P,0.049,8.1,A,1.951,221.9,P,0.01,0.9,A,2.285,738.6,P,0.01,2.2,A,156.125170068027
261341_s_at,At1g52940,3.207,974.5,P,0.025,5.9,A,1.957,317.5,P,0.01,1.9,A,4.969,2290.4,P,0.043,22.4,A,146.512713178295
251012_at,At5g02580,2.949,90.5,P,0.038,0.9,A,1.886,30.9,P,0.114,2.3,A,8.012,372.9,P,0.028,1.5,A,126.763993316625
256014_at,At1g19200,1.988,925.7,P,0.01,1.9,A,1.928,479.4,P,0.072,22,A,2.009,1419.2,P,0.029,22.9,A,98.2845466155811
267049_at,At2g34210,1.901,71.6,P,0.017,0.5,A,1.815,36.5,P,0.185,4.6,A,3.298,188.5,P,0.02,1.3,A,95.5114467408585
252636_at,At3g44520,4.221,104.9,P,0.078,1.5,A,1.922,25.5,P,0.031,0.5,A,4.353,164.1,P,0.035,1.5,A,80.162271062271
262369_at,At1g73010,1.91,3669.800,P,0.011,15.7,P,2.349,2409.800,P,0.09,114.4,P,2.08,6064.5,P,0.057,190.1,P,78.7425305688464
251315_at,At3g61410,3.056,209.2,P,0.044,2.3,A,1.956,71.5,P,0.033,1.5,A,3.31,343.7,P,0.031,3.7,A,78.5004887585533
252730_at,At3g43110,2.451,512,P,0.049,7.9,A,1.951,217.6,P,0.034,4.7,A,2.262,716.9,P,0.022,8.1,A,70.0736476408745
246001_at,At5g20790,2.186,829.4,P,0.026,7.7,A,2.088,422.8,P,0.024,5.9,A,1.934,1113,P,0.066,43.1,P,66.7933177933178
263391_at,At2g11810,2.035,1377.1,P,0.021,11.1,A,1.933,698.2,P,0.059,26.5,P,2.5,2565.5,P,0.067,78.3,P,55.6603022016632
258887_at,At3g05630,1.938,420.8,P,0.016,2.6,A,1.899,220.1,P,0.101,14.5,A,2.137,703.8,P,0.095,35.7,A,54.1405723467084
253087_at,At4g36350,4.211,393.4,P,0.036,2.6,A,1.78,88.8,P,0.164,10.1,A,3.775,535,P,0.22,35.4,A,48.3283238892995
250091_at,At5g17340,3.257,664.8,P,0.1,15.7,A,1.9,207.1,P,0.053,7.1,A,5.082,1573.6,P,0.068,23.8,A,47.7181169071402
264400_at,At1g61800,2.972,1997.800,P,0.044,22.9,A,1.877,673.7,P,0.123,54.3,P,4.122,4203.100,P,0.073,85,P,46.4237901905794
259399_at,At1g17710,1.947,2981.7,P,0.037,43.3,P,2.337,1911.300,P,0.053,53.6,P,2.068,4805,P,0.053,139.6,P,45.2449430562638
266070_at,At2g18660,3.205,1816.5,P,0.081,35.5,P,1.919,580.6,P,0.058,21.7,P,4.062,3492.5,P,0.067,65.7,P,44.4269912675871
266766_at,At2g46880,2.771,1044.7,P,0.059,17.1,P,1.937,389.9,P,0.063,15.7,M,2.99,1710,P,0.058,38,P,43.0879525262927
264729_at,At1g22990,2.577,233.2,P,0.348,24.3,A,1.652,79.8,P,0.23,13.7,A,4.029,553,P,0.037,5.7,A,41.1598910004457
261814_at,At1g08310,2.101,1221.900,P,0.054,24,A,1.939,602.3,P,0.061,23.2,P,2.367,2088.800,P,0.045,44.8,P,41.098097551103
266743_at,At2g02990,3.046,618.1,P,0.069,10.8,A,1.861,201.6,P,0.139,18.6,A,6.946,2138,P,0.122,42.8,A,38.1559476581244
256083_at,At1g20730,1.914,63.4,P,0.059,1.5,A,2.166,38.3,P,0.041,0.9,A,2.124,106.7,P,0.086,4.9,A,36.6558735591298
258741_at,At3g05790,1.488,16.8,P,0.126,1.1,A,1.924,11.6,P,0.04,0.3,A,2.405,41.2,P,0.051,1,A,35.6887955182073
266184_s_at,At2g38940,2.279,2089.800,P,0.041,28.9,P,1.863,912.4,P,0.078,47,P,3.083,4290,P,0.137,216.3,P,33.9912102911035
266564_at,At2g24000,2.295,53.9,P,0.271,4.9,A,2.569,32.2,P,0.032,0.5,A,1.729,61.6,P,0.131,5.3,A,33.9827859895965
254111_at,At4g24890,1.908,706.4,P,0.061,17.3,A,2.025,400.3,P,0.092,22.5,P,2.455,1378.7,P,0.062,39.9,M,30.9621107611186
245275_at,At4g15210,2.143,923.9,P,0.054,18.1,A,1.856,427.3,P,0.102,28.9,P,4.987,3262,P,0.144,107.1,P,30.8377360203341
260201_at,At1g67600,1.954,279.1,P,0.034,3.7,A,1.853,141.3,P,0.147,13.8,A,1.989,430.8,P,0.146,35.9,A,27.8997726944659
252006_at,At3g52820,2.407,221,P,0.049,3.5,A,1.779,87.2,P,0.116,7,A,4.121,574,P,0.221,35,A,27.701904899891
260140_at,At1g66390,2.094,452.8,P,0.054,9,A,1.857,214.4,P,0.083,11.8,A,2.973,975,P,0.143,53.2,A,27.3138271812971
267646_at,At2g32830,3.953,343.4,P,0.215,14.4,A,1.785,82.8,P,0.147,8.4,A,7.558,996.1,P,0.16,23.9,A,25.922134551495
246075_at,At5g20410,1.9,604.9,P,0.07,17.1,M,2.029,344.8,P,0.1,20.9,P,2.313,1116.900,P,0.086,47.3,P,24.7760686600221
264783_at,At1g08650,2.869,594.8,P,0.1,16,A,1.899,210.2,P,0.083,11.3,P,2.21,695.1,P,0.101,36.1,A,24.483568730367
247314_at,At5g64000,2.467,426.2,P,0.129,17.2,P,1.868,172.3,P,0.06,6.8,A,3.048,798.8,P,0.132,39.3,P,24.4494244773315
266757_at,At2g46940,2.742,101,P,0.106,3,A,1.871,36.8,P,0.087,2.1,A,2.487,139,P,0.129,8.2,A,22.2175804740602
259371_at,At1g69080,2.397,297.8,P,0.218,20.9,A,1.782,118.2,P,0.071,5.8,A,2.974,560.5,P,0.098,21.1,A,22.1469810562809
264893_at,At1g23140,2.441,567.3,P,0.089,16,A,1.88,233.3,P,0.116,17.8,A,2.411,850,P,0.12,48.1,A,21.2418431701752
250983_at,At5g02780,2.971,135.2,P,0.259,9.1,A,1.613,39.2,P,0.387,11.6,A,4.765,329,P,0.115,9,A,19.0245945786896
267056_at,At2g32470,3.241,36.6,P,0.218,1.9,A,1.559,9.4,P,0.054,0.4,A,3.853,66,P,0.313,6.1,A,18.6824156669297
254543_at,At4g19810,2.992,1220.400,P,0.149,46.9,P,1.761,383.5,P,0.239,64.3,P,3.9,2413.300,P,0.143,100.8,P,18.2404883407663
246071_at,At5g20150,1.799,1341.400,P,0.071,40.9,P,2.09,832.3,P,0.201,99,P,3.001,3395.7,P,0.173,222,P,17.6942863095038
256100_at,At1g13750,2.194,863.3,P,0.1,30.5,P,1.844,387.4,P,0.156,40.5,P,2.294,1369.6,P,0.128,87.2,P,17.2274626068376
252334_at,At3g48850,2.515,244,P,0.119,8.9,A,1.678,86.9,P,0.322,20.6,A,4.886,719.1,P,0.194,32.5,A,17.1770669720152
247531_at,At5g61550,1.618,21.6,P,0.117,1.2,A,2.329,16.6,M,0.08,0.7,A,3.175,64.3,P,0.382,8.8,A,17.0843593845557
255958_at,At1g22150,1.821,144.8,P,0.08,4.9,A,1.917,81.4,P,0.179,9.4,A,2.298,277.3,P,0.135,18.5,A,16.8314064763087
254729_at,At4g13700,3.864,106.5,P,0.485,10.3,A,1.515,22.3,P,0.242,4.4,A,4.296,179.6,P,0.122,5.8,A,16.4801518806297
256243_at,At3g12500,3.27,824.8,P,0.289,56.2,P,1.711,230.4,P,0.151,25.1,P,4.99,1909.300,P,0.192,83.7,P,16.2118626846272
267497_at,At2g30540,1.901,803.5,P,0.145,47.4,P,1.855,418.5,P,0.116,32.3,P,2.191,1404.900,P,0.116,84.6,P,15.9965517241379
259974_at,At1g76430,2.07,53.5,P,0.105,2.1,A,1.711,23.6,P,0.1,1.7,A,2.786,109.2,P,0.289,12.9,A,15.4881413741967
267567_at,At2g30770,2.588,118.8,P,0.384,13.6,A,1.616,39.6,P,0.288,8.7,A,4.004,278.8,P,0.125,9.9,A,14.7942314814815
247536_at,At5g61650,2.326,54.6,P,0.508,9.2,A,1.492,18.7,P,0.381,5.9,A,4.333,154.3,P,0.123,5,A,14.5741309775302
251143_at,At5g01220,2.053,2474.4,P,0.111,103,P,1.82,1171.2,P,0.18,142.9,P,2.353,4301.700,P,0.156,325.2,P,14.5633133133133
258856_at,At3g02040,1.807,2881.800,P,0.087,107.1,P,2.091,1780.400,P,0.193,203.1,P,1.952,4722.100,P,0.18,494.8,P,14.149585426055
247026_at,At5g67080,2.841,137.5,P,0.209,7.8,A,1.505,38.9,P,0.069,2.2,A,2.969,218,P,0.495,41.3,P,13.8009584787617
248467_at,At5g50800,3.084,269.2,P,0.229,15.4,A,1.487,69.3,P,0.513,29.5,P,7.87,1042.1,P,0.319,48,A,13.678910260288
252635_at,At3g44510,2.29,162,P,0.332,18.1,A,1.668,63,P,0.082,3.8,A,3.065,328.9,P,0.228,27.8,A,13.5606787440734
262644_at,At1g62710,2.639,233.3,P,0.192,13.1,P,1.693,79.9,P,0.215,12.5,P,5.792,776.7,P,0.307,46.8,P,13.4952199275728
245082_at,At2g23270,1.912,61.9,P,0.176,4.4,A,1.776,30.7,P,0.094,2,A,2.099,103.1,P,0.224,12.5,A,13.0425963663996
245371_at,At4g15750,2.303,377.9,P,0.171,21.6,A,1.814,158.9,P,0.168,18.2,P,2.727,678.9,P,0.186,52.7,A,12.9755818758365
251725_at,At3g56260,2.024,49.8,P,0.179,3.4,A,1.796,23.6,P,0.204,3.3,A,3.333,124.4,P,0.193,8.2,A,12.4602047300911
266267_at,At2g29460,3.367,348.5,P,0.39,31.1,P,1.61,89,P,0.185,12.6,P,3.708,582.2,P,0.185,33,P,12.4597597597598
260005_at,At1g67920,1.812,271.8,P,0.115,13.3,P,1.954,156.5,P,0.177,17.5,A,1.975,449.4,P,0.188,48.6,M,12.4337963035552
266765_at,At2g46860,1.884,29.2,P,0.167,2,A,2.357,19.5,P,0.157,1.6,A,1.82,42.8,P,0.18,4.8,A,12.1350956967876
250515_at,At5g09570,1.917,648.8,P,0.164,42.9,P,1.813,327.5,P,0.187,41.8,P,2.114,1085.400,P,0.153,89.5,P,11.7337350066905
260549_at,At2g43535,1.799,2928,P,0.142,178.3,P,2.103,1827,P,0.201,215,P,1.944,4798.5,P,0.173,485.6,P,11.4562316237748
245624_at,At4g14090,1.86,408.8,P,0.084,14.2,A,1.825,214.2,P,0.456,66,P,1.544,515,P,0.201,76.2,P,11.2755473883714
258570_at,At3g04530,2.954,308.9,P,0.288,23.2,P,1.712,95.6,P,0.212,14.6,P,3.223,511.3,P,0.237,42.8,P,10.6438574202337
254743_at,At4g13420,2.959,386.7,P,0.486,49,P,1.514,105.6,P,0.374,32.2,P,5.767,1143.1,P,0.267,60.2,P,10.5786188816102
253608_at,At4g30290,1.741,525.5,P,0.14,32.6,M,1.724,277.9,P,0.276,54.9,P,1.9,870.2,P,0.146,75.8,P,10.5652632424818
259334_at,At3g03790,1.946,590.6,P,0.175,40.9,A,1.746,282.9,P,0.254,50.8,A,3.185,1466.2,P,0.233,122,A,10.5545145483424
260405_at,At1g69930,2.266,166.3,P,0.173,9.8,A,1.539,60.3,P,0.292,14.1,A,6.078,676.8,P,0.461,58.4,P,10.5177318733004
266292_at,At2g29350,3.844,246,P,0.466,23,A,1.507,51.5,P,0.311,13.1,A,8.717,846.3,P,0.493,54.4,P,10.258709261588
251741_at,At3g56040,1.852,1466.900,P,0.22,134.7,P,2.094,885.4,P,0.164,85.5,P,1.78,2138.300,P,0.187,254.9,P,10.2350636928829
250083_at,At5g17220,1.881,746.3,P,0.103,31.5,P,1.637,346.6,P,0.363,95,P,1.798,1081.800,P,0.235,160.5,P,10.1409472084652
258682_at,At3g08720,2.205,543.1,P,0.14,26.6,P,1.613,212.1,P,0.387,62.8,P,2.776,1037.300,P,0.271,115.2,P,10.0538336972517
260040_at,At1g68765,2.786,53.8,P,0.41,6.1,A,1.59,16.4,P,0.126,1.6,A,3.475,101.8,P,0.339,11.3,A,9.88830234446466
261090_at,At1g07560,2.219,159.8,P,0.209,11.6,A,1.42,54.6,P,0.58,27.5,P,3.368,367.9,P,0.206,25.6,A,9.80500510185285
267425_at,At2g34810,3.509,335.2,P,0.338,24.9,P,1.549,79,P,0.446,28.1,P,6.947,1006.700,P,0.451,74.3,P,9.75276621565922
255900_at,At1g17830,1.749,286.2,P,0.162,20.5,A,1.774,155,P,0.253,27.3,A,1.747,433.6,P,0.159,44.9,A,9.59852512915133
